LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
NE        10.000000      6.000000    16.000000       149.900768      88.161438       238.062206        -11.069705           23.875197         -3.501567          -5.818654          -1.909384        -98.581296      -1.971619      -1.918073       -102.470988        -0.614515        -20.407376          -0.000001            -0.000001             -0.000001             -0.000001            0.000000             -0.000001             2.260858          2.353996        2.920070        2.509804          2.773342           3.027674   
NE        10.000000      8.000000    18.000000       156.360800     118.188670       274.549470         -8.986790           24.224180         -3.572508          -5.733488          -2.027513       -132.082359      -1.927439      -1.644095       -135.653893        -4.224401        -14.954073          -0.000001            -0.000001             -0.000001             -0.000001            0.000000             -0.000001             2.264947          2.075773        2.844045        2.656722          2.762359           2.954419   
NE        10.000000     10.000000    20.000000       159.074994     159.538221       318.613215        -12.840373           24.339052         -3.601410          -5.046418          -3.110824       -155.435545      -1.764179      -1.196591       -158.396315        -7.747212        -11.396452          -0.000007            -0.000008             -0.000007             -0.000007           -0.000007             -0.000014             2.122093          1.554147        2.816419        2.798380          2.807414           2.927835   
NE        10.000000     12.000000    22.000000       159.974498     200.658434       360.632932        -17.849450           24.332484         -3.607712          -4.470521          -3.488171       -174.506870      -1.606011      -1.364168       -177.477048       -11.056624         -9.539535          -0.000010            -0.000010             -0.000010             -0.000009           -0.000013             -0.000022             1.974965          1.548517        2.809447        2.922743          2.871799           2.921129   
NE        10.000000     14.000000    24.000000       159.449831     236.441538       395.891369        -21.366169           24.222257         -3.595816          -4.146117          -2.621266       -190.837340      -1.490548      -1.517906       -193.845793       -14.057485         -7.691139          -0.000005            -0.000004             -0.000004             -0.000005           -0.000006             -0.000011             1.867023          1.533037        2.817584        3.039961          2.949343           2.928955   
NE        10.000000     16.000000    26.000000       157.053993     266.116211       423.170204        -20.908437           23.978698         -3.562014          -3.991023          -2.045925       -202.755432      -1.423339      -1.543808       -205.722579       -16.575635         -5.031977          -0.000002            -0.000001             -0.000001             -0.000002           -0.000002             -0.000003             1.795267          1.592454        2.843467        3.178812          3.054194           2.953862   
NE        10.000000     18.000000    28.000000       152.332303     290.765373       443.097675        -15.053461           23.559675         -3.503719          -3.679805          -2.139612       -209.336357      -1.325078      -1.338808       -212.000243       -18.691111         -3.272149          -0.000002            -0.000001             -0.000001             -0.000002           -0.000002             -0.000004             1.689663          1.299397        2.891188        3.323134          3.175619           2.999828   
NE        10.000000     20.000000    30.000000       148.152319     318.749077       466.901397        -11.017990           23.169213         -3.450222          -3.516519          -3.032537       -213.358916      -1.263762      -1.484150       -216.106828       -20.673325         -1.893310          -0.000002            -0.000001             -0.000001             -0.000002           -0.000002             -0.000004             1.622218          1.437237        2.936863        3.447845          3.286357           3.043874   
NE        10.000000     22.000000    32.000000       145.084558     350.723054       495.807612        -11.550434           22.906158         -3.415701          -3.223716          -3.515555       -214.541661      -1.248090      -1.186230       -216.975981       -22.477274         -0.940757           0.132795             0.104272              0.111061              0.148308            0.372784              0.521092             1.569358          1.208270        2.975340        3.589046          3.409151           3.081014   
NE        10.000000     24.000000    34.000000       141.629841     382.285093       523.914934        -13.734715           22.641773         -3.388771          -2.633045          -3.530622       -215.543382      -1.372951      -1.310543       -218.226876       -24.384989         -0.658664           0.282629             0.231042              0.242109              0.327388            0.979868              1.307256             1.583886          1.199754        3.030176        3.742639          3.547974           3.134002   
NE        10.000000     26.000000    36.000000       139.556838     412.551599       552.108437        -15.534387           22.460081         -3.364347          -2.434846          -3.675730       -215.381610      -1.350777      -1.270530       -218.002916       -25.853022         -0.164106           0.296913             0.236414              0.248113              0.349923            1.162255              1.512178             1.543479          1.135549        3.056444        3.871436          3.663282           3.159407   
NE        10.000000     28.000000    38.000000       138.271562     441.398674       579.670236        -17.185492           22.344718         -3.343803          -2.447182          -3.978637       -214.343721      -1.274861      -1.214294       -216.832876       -26.929416          0.127502           0.267615             0.187905              0.201776              0.317499            1.058189              1.375688             1.485443          1.080387        3.066627        3.992803          3.771190           3.169258   
NE        10.000000     30.000000    40.000000       137.734878     469.872052       607.606930        -18.983564           22.273429         -3.325632          -2.666976          -4.234779       -213.001605      -1.134485      -1.254057       -215.390147       -27.782382          0.223514           0.181048             0.100216              0.112892              0.214385            0.638039              0.852424             1.410009          1.070602        3.063693        4.101480          3.868224           3.166419   
NE        10.000000     32.000000    42.000000       136.964981     496.421290       633.386270        -20.520384           22.175308         -3.306525          -2.836184          -3.735535       -211.986409      -1.029151      -1.447556       -214.463115       -28.693347          0.484526          -0.000005            -0.000002             -0.000002             -0.000006           -0.000014             -0.000020             1.357179          1.111830        3.065864        4.204056          3.962821           3.168521   
NE        10.000000     34.000000    44.000000       135.163466     519.274941       654.438407        -20.573990           22.021262         -3.284245          -2.718674          -3.015119       -210.100705      -0.992744      -1.535171       -212.628620       -29.560071          1.195408          -0.000002             0.000000             -0.000001             -0.000002           -0.000003             -0.000005             1.316133          1.155627        3.087134        4.310086          4.064583           3.189106   
