     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             P-P     26     24      0.975543847403      0.925470902732       1.02916711049       1.02796369643      0.947705155658      0.970648322708    
             P-P     26     26      0.949044383484      0.877154510767        1.0348206811       0.99909906242      0.931183014477      0.955330193163    
             P-P     26     28      0.971146273081       1.00218626935        1.3444198677       1.08356478729       1.15683166942       1.07000708612    
             P-P     26     30       1.00069222885       1.00922762044       1.32951496635        1.0972073604      0.996470005007       1.07401320338    
             P-P     26     32       1.03911677153      0.917900880015       1.32470289398       1.09363004245      0.974458943852       1.09035350624    
             P-P     26     34       1.05210137523      0.927241019845       1.23517633995       1.10062551299      0.964817914739       1.00244672184    
             P-P     26     36        1.0273780849       1.02198494003       1.14380388567       1.09549693247       1.06019888801       1.12404575541    
             P-P     26     38        1.0261004029       1.07245448905       1.48826189242       1.09015321831       1.11045594211       1.07485130104    
             P-P     26     40       1.03663010213       1.05636332138       1.27968632329        1.0972684599       1.11408323761       1.07380417141    
             P-P     26     42       1.05134119596       1.17715610856       1.16042195263       1.08764043477       1.11635332024       1.05938431762    
             P-P     26     44       1.30132126401       1.04997817358       1.10521906547       1.36924732132        1.2460271204       1.35940028697    
             P-P     26     46        1.0334600786      0.964417572556       1.10256531115       1.01512511036      0.986140777513       1.01620155545    
             P-P     26     48       1.14714451354       1.11113179051       1.46990030034       1.09632744012       1.26816608283       1.21056032298    
             P-P     26     50       1.26104279412       1.39917819269       1.38321147817       1.15515292059       1.08272917046       1.35003370022    
             P-P     26     52       1.21797784011       1.25291184544       1.54521352726       1.13940020264       1.11022601426       1.22131736176    
             P-P     26     54       1.17266769588       1.20204515963        1.4094834983       1.15618865877       1.13276389292       1.17688284337    
             P-P     26     56       1.19283808088        1.2232827404         1.527694232       1.16120551712                 N/A        1.1585515441    
             P-P     26     58       1.22383928787       1.25604944815       1.52221192615       1.18543070105                 N/A       1.17083439806    
             P-P     26     60       1.24141329938       1.26687075955       1.57941329534                 N/A                 N/A                 N/A    
             P-P     28     24       1.06234222558                 N/A                 N/A       1.10633175792                 N/A                 N/A    
             P-P     28     26      0.930560851352      0.868536567995      0.697599872758       1.06303985815      0.843647984504      0.869024910599    
             P-P     28     28      0.765674359078      0.644414393253      0.527142293101      0.928907029411      0.582147825671      0.696495114696    
             P-P     28     30      0.786560357791      0.677441027488       0.54073542451      0.846296300606      0.598565388405      0.706801319386    
             P-P     28     32      0.812282359095      0.755478303702      0.557482431638       0.81632503124      0.613509070962      0.725511580888    
             P-P     28     34      0.772666758872      0.750424693475      0.556121486407      0.775248787026      0.618101981882      0.719275689381    
             P-P     28     36      0.731653736821      0.684970329654      0.579442173916      0.734784091043      0.567246264719        0.6738949765    
             P-P     28     38      0.696794553436       0.63399168615      0.535266286949      0.704552572128      0.500082513615      0.641595879928    
             P-P     28     40      0.656238597854      0.613155935058      0.547470855731       0.66576909896      0.479556161182      0.619053794846    
             P-P     28     42      0.613757591222      0.583088424048      0.570783585976      0.642657001105      0.462516345617      0.591130617108    
             P-P     28     44      0.577512667379      0.717747564593      0.587004742265      0.634296909626      0.489926258749      0.564003624851    
             P-P     28     46      0.626347724142      0.812210776819      0.549643679744      0.734853610731      0.607660502508      0.674778288941    
             P-P     28     48       0.58630359621      0.691550019467      0.420283424432      0.659150700801      0.465623863223      0.562431910587    
             P-P     28     50      0.568751458314      0.579977018411      0.396291543366      0.610809651098      0.425367695812      0.525964016435    
             P-P     28     52      0.581528305818      0.633939236607      0.431359908483      0.612709525596      0.485479608339      0.565738294839    
             P-P     28     54      0.609652568146      0.657239875138      0.462792897286      0.609003569674      0.539765830691      0.602921667965    
             P-P     28     56      0.642799210578       0.62239082098      0.456617772797      0.619738804883      0.544380334587      0.616477012651    
             P-P     28     58      0.668953931651      0.652901117146      0.482204891511      0.646349739844      0.573310421938       0.64662652517    
             P-P     28     60      0.669851699858      0.666650889262      0.493334313424      0.663962237812                 N/A      0.667663822586    
             P-P     28     62        0.6706443702                 N/A                 N/A                 N/A                 N/A                 N/A    
             P-P     30     28      0.870015734235      0.993088106777       1.25818923921       1.01174791087       1.18451027755                 N/A    
             P-P     30     30      0.829275928089      0.962410877745       1.22824848695      0.975400164014       1.32114969088      0.934482060981    
             P-P     30     32      0.807731117619      0.979248739952       1.20323767193      0.968057725282          1.22976612      0.911659094198    
             P-P     30     34        0.8025709558       1.06907365035       1.18863098238      0.977036228992       1.34077373371      0.997651528302    
             P-P     30     36      0.804591805434      0.999450801784       1.03217256067      0.978072829748       1.20463749296      0.976713919272    
             P-P     30     38      0.808557121731       1.05698775929       1.21578662458      0.963012611613       1.36187227477      0.924505141289    
             P-P     30     40      0.810825328967      0.942844084467       1.26210118391       0.99162645828       1.15487877093      0.935956038145    
