     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-N     14     10       1.12982924326       1.15636915119        1.8364764628        1.0887811177       1.22433488008                 N/A    
             N-N     14     12       1.14837294215      0.956338600288        1.3194170024       1.28423406835       1.01128441717       1.03309333714    
             N-N     14     14      0.628435578755       0.63166176155      0.663195501412       0.78541577162      0.736778509644      0.740490071139    
             N-N     14     16      0.621005864935      0.705554353173      0.571604789019      0.680002767611      0.732050354084      0.722261936597    
             N-N     14     18       1.42551065355       1.23515765089       1.73826734726       1.11931945377       1.28190254849       1.23595224404    
             N-N     14     20       1.06229369924      0.783336398137       1.60746958969       1.08276903021      0.789724421714      0.892312593163    
             N-N     14     22       2.76486929426       10.0340404823       5.70873193365       2.89734349818       5.36961762953       3.94203241336    
             N-N     14     24       3.19691561581       2.29302970563       3.00394793858       3.06411272871       2.54629806456       2.81306612956    
             N-N     14     26       4.28938324031       6.78668926634       3.97726594784       3.66630064765       3.33764445742       4.13373885312    
             N-N     14     28       2.58613109616       2.02031221905       1.86644990962       2.34539314946       1.96745727298       2.29259863189    
             N-N     14     30       13.3888076263       5.95400235481       3.87598025963       4.49857226563       2.53177856811       4.76991708692    
             N-N     14     32       2.13691651495        4.1701113524       1.50982138813       1.66970483375                 N/A       2.37238777864    
             N-N     16     12       1.16902971411       1.22039325952                 N/A       1.19714385419       1.12548290251                 N/A    
             N-N     16     14      0.614105480907      0.619181819336      0.618010685405      0.726077208146      0.634166379574      0.688720768323    
             N-N     16     16      0.594976287964      0.663279739225      0.585348664395      0.716531400466      0.806139883811      0.715946838799    
             N-N     16     18       1.31950143958       1.14243020037        1.5852074779       1.05780368221        1.2624899711       1.14465818074    
             N-N     16     20       1.00704883834      0.708123772954       1.39562666428      0.969618224944      0.729038724168      0.844426458161    
             N-N     16     22        1.9358657361       4.57262529279       2.89881119753       1.93363288529       3.53126360088       2.38368226469    
             N-N     16     24       4.08377038184       2.26464916621       8.26273856075       4.04062851977       3.38060832357       3.70380315768    
             N-N     16     26       2.59030616771       2.45561476316        2.0095988489       2.72228846457       1.75191407562       2.30201783373    
             N-N     16     28       3.40070411579       2.54263199279       2.09933750157       2.57033893132       2.17916554303        2.3825762201    
             N-N     16     30       2.80290072196       3.57016626264       2.36593573054       2.63301497988       1.81051674864       3.48876356475    
             N-N     16     32       1.53192082574       1.90080099754       1.23364495205       1.40471830833       2.20751891982       1.54339863324    
             N-N     16     34       1.46993757175                 N/A       1.29649389157       1.50808977055                 N/A       1.63881164851    
             N-N     16     36       7.15269209449                 N/A                 N/A                 N/A                 N/A                 N/A    
             N-N     18     14                 N/A                 N/A                 N/A       0.73251419933                 N/A                 N/A    
             N-N     18     16      0.642651012545      0.720675792104      0.655394858198      0.754395295591       0.88032063038      0.753459840496    
             N-N     18     18       1.24478977679       1.09441160602       1.40294365638       1.01081751636       1.19487446649       1.11247296343    
             N-N     18     20      0.922285672915       0.63189366367       1.11329502485      0.858551863401      0.670963179386      0.770359494036    
             N-N     18     22       1.86326087422       2.01210482261        2.6128933221       1.74144959135       2.03211039236       1.80968534548    
             N-N     18     24       2.54975528724       3.06830350431       4.61930569526        2.9617519355        3.7750130002       3.05479694765    
             N-N     18     26       2.56017695943       2.26752099299       2.34549216928       2.48870748977       2.10929857912       2.44083269007    
             N-N     18     28       2.53333713334       2.17436564241       1.46769816494       2.48743224856       1.39775541447       2.16290456454    
             N-N     18     30        1.7706785373       1.94514118321       1.84522186717       1.83555450725        1.9566915672       1.76493532395    
             N-N     18     32       1.34711022965       1.42683171305       1.14116495825       1.32782507232       1.62278191069       1.45062507434    
