    EDF      Z      N                 N-N                 P-P                 N-P
   SKMS     32     46        2.8844087611       1.27733537622      -1.87412794484    
   SKMS     32     48       2.38395360826       1.28541684944      -1.84231785694    
   SKMS     32     50       1.35201411232       1.80326553355      -3.65683526506    
   SKMS     32     52       2.34222069457       1.35448680527      -1.68898519858    
   SKMS     32     54       2.42781351722       1.35012893731       -2.3009372868    
   SKMS     32     56       5.21666097181        1.7896475155      -4.51461663569    
   SKMS     32     58       2.59675003749        1.7675230021      -2.77785108218    
   SKMS     32     60      -29.3843249319       3.09238978336      -2.34151047328    
   SKMS     32     62       11.3357478476       2.21194283234      -1.64729380515    
   SKMS     32     64       44.5022974311       2.32468936338      -2.68180995354    
   SKMS     32     66       6.75699644751       1.84796001384      -2.58363384224    
   SKMS     32     68       5.74442754625       1.65378642671      -2.60143143765    
   SKMS     32     70       9.01483616662       1.70104333493      -2.71124128082    
   SKMS     32     72       14.0847550133       1.67679028803      -2.74611356278    
   SKMS     32     74       10.4243220282       1.61434637335      -2.82052439189    
   SKMS     32     76       7.12260858417       1.59308283433      -2.96659099387    
   SKMS     32     78       7.35277898282       1.60501084385      -3.03952291648    
   SKMS     32     80       8.95203054433                 N/A                 N/A    
   SKMS     34     34       2.49587400828       1.72414610587      -1.14093678326    
   SKMS     34     36       3.40129113011       1.81773482066      -1.30942112129    
   SKMS     34     38       2.69207808911       2.14697665431      -1.44610859408    
   SKMS     34     40       2.86796532917       2.13645768906      -1.94713812073    
   SKMS     34     42       6.22079144019       2.37217673903       -2.7077871219    
   SKMS     34     44       11.7109731819       1.59658267444      -2.29160436367    
   SKMS     34     46       2.84761960358       1.31307693318      -1.81095282377    
   SKMS     34     48       2.12621646159       1.36158300363      -1.82576205026    
   SKMS     34     50        1.2074786397       1.75804470268      -2.01260393212    
   SKMS     34     52       2.48104020091       1.44362482645      -2.44897559351    
   SKMS     34     54       2.26905424117       1.33142407122      -2.31362319176    
   SKMS     34     56       4.13051178074       1.48541287422        -2.478907595    
   SKMS     34     58       14.5710466018       1.36722969185      -2.83289128426    
   SKMS     34     60       6.36567627353        1.3246151579      -1.49373285708    
   SKMS     34     62       5.82250953072       1.40025869779      -2.09056538296    
   SKMS     34     64       7.08215297451       1.45134931946       -2.5328719285    
   SKMS     34     66       9.68933567493        1.7146401549      -3.62214507053    
   SKMS     34     68       9.14774988222       1.77732041399      -3.11654636798    
   SKMS     34     70       7.09655214015       1.47587098526      -2.59313739155    
   SKMS     34     72        10.507402465       1.24251809961      -2.81176894008    
   SKMS     34     74        10.143428073       1.04844936959      -3.01681193873    
   SKMS     34     76       7.37717465276      0.885396099653      -3.04118448053    
   SKMS     34     78       7.56791732807       1.10166160866      -2.99702694927    
   SKMS     34     80       15.2197735298        1.7072807414      -2.96269741749    
   SKMS     34     82        2.8415266386       2.40592097151      -2.60733926894    
   SKMS     34     84        9.4028043864                 N/A                 N/A    
   SKMS     36     34                 N/A       1.81947198923                 N/A    
   SKMS     36     36       3.20832367494       1.84167150105      -1.26014693943    
   SKMS     36     38       1.57219293795       1.49215369631      -1.28886740777    
   SKMS     36     40       2.25152076155       1.60830140855      -1.95587162441    
   SKMS     36     42       2.89875447767       1.68267167878      -2.40490986398    
   SKMS     36     44      -10.0018253331        2.0112701523      -4.31794776579    
   SKMS     36     46       5.17366706935       1.79526848016      -2.39829289512    
   SKMS     36     48       2.61320399716       1.95703333317      -1.73959256133    
   SKMS     36     50      0.829036678033       1.82250861933      -1.50944706313    
   SKMS     36     52       3.18820618767       1.76474455102      -3.51559341459    
   SKMS     36     54       3.00034954072       1.79700654649      -2.67488569879    
   SKMS     36     56       2.33338194546        1.6055055998       -2.0778551548    
   SKMS     36     58      -3.53981674369       2.42805962829       -3.3920871088    
   SKMS     36     60       3.52231740307       2.12774785337      -1.54814698417    
   SKMS     36     62       3.69111631353       1.96932190339      -1.92632945627    
   SKMS     36     64       5.57824817905       2.02506114419      -2.38124436687    
   SKMS     36     66       6.96131596717       1.86990159643      -2.61861850853    
   SKMS     36     68       5.55430583674       1.69906500453       -2.9288065699    
   SKMS     36     70       5.45765880082       1.85457533007      -3.69396258755    
   SKMS     36     72       7.08896832472       2.26891781129      -4.37834601412    
   SKMS     36     74       7.81746225632       2.60675475325      -5.47934697143    
   SKMS     36     76      -3.75011836311       5.71464492054      -6.52866164069    
   SKMS     36     78       35.7197074556       3.34464660046      -1.80056168522    
   SKMS     36     80       5.82720020512       2.23907123325      -1.51624677371    
   SKMS     36     82        1.1841809997       1.50521764883      -1.80629883498    
   SKMS     36     84       16.5397242828       2.00271869062      -16.3729764024    
   SKMS     36     86        18.762606126       2.02829882521      -9.34867762955    
   SKMS     36     88       10.9641308459                 N/A                 N/A    
   SKMS     38     36       2.15896572588                 N/A      -1.24971373745    
   SKMS     38     38       1.37919097347       1.06042739466      -1.54157373867    
   SKMS     38     40       1.78403697238        1.0414570192      -1.78673767162    
   SKMS     38     42       2.17586896047       1.07315078681      -2.25582397354    
   SKMS     38     44       -7.7859032329       1.35960359398      -3.04241506908    
   SKMS     38     46      -14.1921978392       2.20852812091      -2.80000868003    
   SKMS     38     48       2.64002703388       1.65330042163      -1.61059254505    
   SKMS     38     50      0.639177863864       1.32663383248      -1.60056980285    
   SKMS     38     52       5.09886703175       1.62737041758      -3.75252826592    
   SKMS     38     54       3.30659674317       1.59526079922      -2.60402425909    
   SKMS     38     56       2.96170588335        1.5951093946      -2.41027887529    
   SKMS     38     58      -2.74351433212       1.15115632214      -1.97703085552    
   SKMS     38     60       2.56150821604      0.853478447429      -1.70124590744    
   SKMS     38     62        3.1416013999       0.81523926763      -2.07764793632    
   SKMS     38     64       3.67258871597       0.80913693611      -2.30454438869    
   SKMS     38     66       5.07892651809      0.840245049066      -2.93336423144    
   SKMS     38     68       6.77318631004       0.90146390978      -3.47627183751    
   SKMS     38     70         5.668042584      0.942336986303      -3.12437512498    
   SKMS     38     72        4.3800911716      0.952453520268      -3.05936701696    
   SKMS     38     74       174.162929421       1.00122675308      -4.17321339518    
   SKMS     38     76      -2.97403297459       1.26585563296      -2.76395416811    
   SKMS     38     78      -19.0429036619       1.14232253591      -2.31810953531    
   SKMS     38     80       2.87664238301        0.9450161267      -1.95352657944    
   SKMS     38     82       1.04796427699      0.944585423819      -2.97728702163    
   SKMS     38     84        5.7701073817      0.978219693959      -4.42261148574    
   SKMS     38     86       242.836328318       1.16382122077      -8.82891115246    
   SKMS     38     88         13.51232662       1.29355103366      -6.15597706898    
   SKMS     38     90       44.6767636153       1.40478688154      -5.56657273075    
   SKMS     38     92        8.5310219951                 N/A                 N/A    
   SKMS     40     40       1.58384791892        1.1478348105      -1.84331117673    
   SKMS     40     42       2.46167177053       1.33248764784      -2.12019490952    
   SKMS     40     44        -4.110422387       1.68094630553      -1.90471383341    
   SKMS     40     46       9.94334777605       1.38522381754      -1.56284187166    
   SKMS     40     48       2.68981883398       1.38202005726      -2.13297385614    
   SKMS     40     50       0.61178384392       1.36593361563      -2.10154342603    
   SKMS     40     52       4.34299686327       1.29891511362      -2.46435161369    
   SKMS     40     54       3.85731037462       1.28627248203       -2.6906855194    
   SKMS     40     56       2.04733437065       1.18058353293       -2.4106245868    
   SKMS     40     58      -2.59549474023       1.30546257761         -3.78739819    
   SKMS     40     60       4.01832355541        1.4012844173       -3.5109832333    
   SKMS     40     62       3.12509521775       1.22480987123      -2.34546053704    
   SKMS     40     64       3.22268252871       1.10793226878      -2.35474602004    
   SKMS     40     66       4.64972462006       1.09622528526      -2.58624312625    
   SKMS     40     68       6.75910874392       1.14176659265      -2.71380178527    
   SKMS     40     70       4.84330691309       1.12995722829      -2.71606832813    
   SKMS     40     72       3.62747960903       1.33617448568      -2.95738555288    
   SKMS     40     74      -3.64849987367       2.42099828654      -3.43915912559    
   SKMS     40     76       -8.9602523207        1.4175570106      -1.75255423827    
   SKMS     40     78      -28.0282805351       1.18962610349      -2.89054099365    
   SKMS     40     80       2.92950154531       1.22737412511      -3.03839390498    
   SKMS     40     82      0.973601998805       1.25753696923      -2.98157016939    
   SKMS     40     84       6.26853134579       1.19150031336      -3.80936417903    
   SKMS     40     86       31.4539592671       1.12146063519      -3.61937232845    
   SKMS     40     88       12.2301344398       1.06915451795      -4.02225918231    
   SKMS     40     90       11.5835929989        1.0019395044      -4.15182820565    
   SKMS     40     92       6.81070165551       0.96635747254      -5.65253579822    
   SKMS     40     94                 N/A      0.937388538644      -6.78871647435    
   SKMS     42     42       3.14439699899       1.85412315271      -1.68809349675    
   SKMS     42     44      -13.2352600563       2.04794966959       -1.4693214857    
   SKMS     42     46       6.83656674455       2.20135944953      -1.94985746542    
   SKMS     42     48       2.69100410782       1.90917026983       -2.1406148488    
   SKMS     42     50      0.576744341633       1.93788872837      -2.13986477125    
   SKMS     42     52       4.27016022709       1.89336295815      -2.71729531294    
   SKMS     42     54       3.59580621122       1.85813510129      -2.74660759629    
   SKMS     42     56       2.04661576733       1.82729670639      -2.89660496174    
   SKMS     42     58      -2.64953828483       2.60078699815      -2.89804461685    
   SKMS     42     60       3.80911387632       1.88575173136       -2.9655858589    
   SKMS     42     62       3.27892234938       1.74195012187      -3.09087242192    
   SKMS     42     64       3.67885778823       1.76124787935      -2.95381488885    
   SKMS     42     66       5.34140954456       1.93743912203      -2.65236335521    
   SKMS     42     68       5.16009184963       2.14573971426      -2.46991489291    
   SKMS     42     70       11.0161579497       2.67859175717      -2.78531553795    
   SKMS     42     72       8.04681637769       2.10517673485      -2.10650266841    
   SKMS     42     74       13.5452716843       1.28260995735      -1.59713474028    
   SKMS     42     76      -22.6299382768        1.4119407832      -3.59441356244    
   SKMS     42     78      -5.55995718833       2.00008800387      -4.74395116577    
   SKMS     42     80        2.9291754664       2.00526884389      -2.81710773183    
   SKMS     42     82      0.859393362819       2.03756661569      -2.81740933577    
   SKMS     42     84       6.48969274549       2.02488277194      -4.57795280817    
   SKMS     42     86       19.7335964479       1.98343140575      -4.46678332416    
   SKMS     42     88       9.20424683949       2.02115645519       -4.8782332015    
   SKMS     42     90       8.04642788892       2.06280732606      -5.61444484369    
