    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     34     62        4.9728049728       1.07623801004      -2.20403040019    
    SKP     34     64       5.11636533407       1.03646356559      -2.27059600875    
    SKP     34     66       5.56013494447       1.03239873717      -2.38342802494    
    SKP     34     68       6.53932422623       1.12411398741      -2.90051592927    
    SKP     34     70        18.111184562       1.37425450987      -3.82766328812    
    SKP     34     72        11.636465191        1.3769566985      -3.00877886453    
    SKP     34     74       6.62698208892       1.26370647637      -2.65457243465    
    SKP     34     76       6.30330230008       1.33227994399      -2.72434467592    
    SKP     34     78       6.43340222435                 N/A                 N/A    
    SKP     36     34       1.95258727577        1.4554451843      -1.48184810168    
    SKP     36     36       2.03984635877       1.42757263757      -1.57435873417    
    SKP     36     38        3.0637536497       1.76025192726      -1.63073611428    
    SKP     36     40       1.72999755205        1.7451237969      -1.66393503998    
    SKP     36     42       2.42882480704       1.67526426247      -1.73439027076    
    SKP     36     44       4.85425700136        1.8994236199      -2.09353057183    
    SKP     36     46       3.35950669004       2.02820832133      -2.13569455724    
    SKP     36     48       2.33720901017       1.97109390784      -1.70418864005    
    SKP     36     50       1.73814045044       1.69332453369        -1.690399881    
    SKP     36     52       2.26258293074       1.49632502574      -2.24064405073    
    SKP     36     54       2.74454966743       1.39686020747      -2.33236831594    
    SKP     36     56       2.91804453082       1.43611152699       -2.2937344922    
    SKP     36     58       4.04670299931        1.4453279413      -2.45310732038    
    SKP     36     60       4.90520086184       1.30518697619      -2.53578789149    
    SKP     36     62       5.18292485407       1.33700385458      -2.52140833262    
    SKP     36     64       5.42174390393       1.37431541913      -2.47062275135    
    SKP     36     66        5.8199764873        1.3851753684      -2.40520486332    
    SKP     36     68       6.51306684035       1.35640947561      -2.35963281754    
    SKP     36     70       6.91543802385       1.51156841094      -2.36307040827    
    SKP     36     72       9.25062962098       1.99612751263      -2.99590684228    
    SKP     36     74       18.2707635809       2.81152387405      -3.20898773284    
    SKP     36     76       6.55906520203       2.60987576991      -2.45223806572    
    SKP     36     78       5.89627856378       2.59678038184      -2.41559313682    
    SKP     36     80       4.75636133602       2.92020467715      -2.50114270958    
