     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-P     22     48      -2.00097947946      -2.26181529903      -2.08840096881      -1.74851845845      -1.57811408266      -1.82646066626    
             N-P     22     50      -2.75540921271      -3.42307787759      -2.01091625891                 N/A                 N/A      -2.50718622251    
             N-P     22     52      -4.26438323159      -5.26816264925        -3.322077029                 N/A                 N/A                 N/A    
             N-P     22     54                 N/A      -4.85425111041      -4.34343544026                 N/A                 N/A                 N/A    
             N-P     22     56                 N/A      -5.58186007114      -4.05868451947                 N/A                 N/A                 N/A    
             N-P     24     20     -0.989039709203                 N/A      -1.05380185364                 N/A                 N/A                 N/A    
             N-P     24     22       -1.0741080875     -0.991094765756      -1.23729414905      -1.19333949494      -1.10262032206       -1.0698262201    
             N-P     24     24     -0.887982357567     -0.707637460346     -0.774272024603     -0.830216734305     -0.708173795056     -0.786300908315    
             N-P     24     26       -1.2101278016      -1.21956871172       -1.5667295578       -1.2627597931      -1.37760591379      -1.27108733895    
             N-P     24     28      -1.42735257143      -1.73755454835      -2.28664854498      -1.66597181759       -1.9181965883      -1.67296538133    
             N-P     24     30      -1.46602469445      -1.66179276696       -1.7608493633       -1.7272909816      -1.33392070308      -1.62467755228    
             N-P     24     32      -1.59354232907      -1.62098199089      -1.70560346169      -1.53235275527      -1.59546886841       -1.5856178122    
             N-P     24     34      -1.57351274526      -1.30062436473      -1.70618838794      -1.48217151466      -1.47828673958      -1.52376134393    
             N-P     24     36      -1.55429743813      -1.57313896677      -1.44765252286      -1.46149205917      -1.58961346562      -1.49045290392    
             N-P     24     38        -1.546411282      -1.53472330665      -1.12015323696      -1.50716581989      -1.44474378733      -1.51649625672    
             N-P     24     40      -1.57941703717      -1.50417559144      -1.34190047325      -1.52054830972      -1.47415710461      -1.50145923069    
             N-P     24     42      -1.58222340362      -1.34393925395      -1.42624003548      -1.59509540066      -1.54653982978      -1.53242554998    
             N-P     24     44      -1.25413747792       -1.2232980789      -1.68653474873      -1.15150859141      -1.31845370431      -1.23517290722    
             N-P     24     46      -1.73480699405      -1.84692756673       -2.8425059817      -1.64507167372      -1.13277544143       -1.5766908334    
             N-P     24     48      -1.95244717288      -2.02144960172      -2.59580129141      -1.96628605923      -2.78467759003      -2.00312387168    
             N-P     24     50       -2.3503737388      -2.53608210819      -2.83199474382      -2.21619417407      -2.28607744545      -2.39308446451    
             N-P     24     52      -2.94329304456      -3.53779425604      -2.60383440655       -2.5941228849                 N/A      -2.94909783411    
             N-P     24     54      -4.29787727841      -6.14093130294      -3.32238607123      -3.64724569124                 N/A      -4.13560653839    
             N-P     24     56      -4.43493889209      -5.18957518138      -6.70093075928      -3.67269999458                 N/A      -4.55000972564    
             N-P     24     58      -4.33398559817      -4.94580632717       -4.4227581868                 N/A                 N/A                 N/A    
             N-P     26     22      -1.12782802878      -1.03393049712      -1.26849787019      -1.19880718685      -1.13641690591                 N/A    
             N-P     26     24      -1.13967387093      -1.28192473307      -1.56389589927      -1.22672857557       -1.3373605718      -1.26060722189    
             N-P     26     26       -1.1577960195       -1.0740331017      -1.24380971453      -1.25149083846      -1.14591871025      -1.16982563456    
             N-P     26     28      -1.13073949232      -1.10081391429      -1.23697427434      -1.28111180006       -1.1733894057      -1.18046263511    
             N-P     26     30      -1.48354525777      -1.40547742663      -1.64021478613       -1.3641834322      -1.36852916644      -1.42661136645    
             N-P     26     32      -1.56853579928      -1.39232667882      -1.70066436453      -1.52942089625      -1.43096215749      -1.56402859357    
             N-P     26     34      -1.51311511439      -1.41062127287      -1.58865509623      -1.51786527428      -1.43071955178      -1.35403655222    
             N-P     26     36       -1.4629662885      -1.45828024282      -1.57693325118      -1.47357547617      -1.47907606555      -1.62302356306    
             N-P     26     38      -1.54968063019      -1.59679682557      -2.46861007995      -1.48277204233      -1.56395398847      -1.50098877636    
             N-P     26     40      -1.56661910672      -1.48488682193      -1.67027306459      -1.53168031841      -1.49285649506      -1.57277587865    
             N-P     26     42      -1.56380907924       -1.7859144038       -1.7223517335      -1.60725450393      -1.55681034469      -1.55841524753    
             N-P     26     44      -2.22082680271      -1.97510089062      -1.69862632089      -2.68910093944      -1.94784072117      -2.42805225897    
             N-P     26     46       -1.6703742014      -1.63920318333      -1.61203155874      -1.49000153098      -1.72659758837      -1.57266148186    
             N-P     26     48      -1.91633933195      -1.91145564037        -1.731538017      -1.78419294263       -1.6360052025      -1.80518856323    
             N-P     26     50      -2.02858273068      -2.09983012374      -1.53978456874      -1.86651871395      -1.40205506221      -1.86596929174    
             N-P     26     52      -2.17811182753      -2.26169764156      -4.24282088189      -2.06071908793      -2.83619753832      -2.28381676025    
             N-P     26     54      -2.54954401405      -2.80518088858      -2.87170857327      -2.35155928957      -3.07355871227      -2.75287951197    
             N-P     26     56      -3.13261862639      -3.37776216501      -3.13492153683      -2.77664783637                 N/A      -3.19549052377    
             N-P     26     58      -4.05873393883      -4.94059551468      -4.13167653104      -3.29278813543                 N/A      -3.98710570017    
             N-P     26     60      -4.56311067255      -5.37403989419       -4.7596042865                 N/A                 N/A                 N/A    
             N-P     28     24      -1.47086185886      -1.52491268922      -2.33817901449      -1.66546336938      -2.08802268428                 N/A    
             N-P     28     26      -1.19747894757      -1.14737978615      -1.23565100273      -1.29711401859        -1.171042462      -1.19287756663    
             N-P     28     28      -1.10088814151     -0.951791521489     -0.969969736944      -1.16469483831     -0.941881441145      -1.04241508812    
             N-P     28     30      -1.41951945718      -1.39185867067      -1.66295965244        -1.343157636      -1.69033416216      -1.41955169848    
             N-P     28     32      -1.48260221894      -1.61384875897      -1.70860363087      -1.53642636446      -1.47893442774      -1.53062473979    
             N-P     28     34      -1.48640257504      -1.38911751448      -1.73989144817      -1.50459258078      -1.45202263122      -1.51950974538    
             N-P     28     36      -1.51361496662       -1.2727188265      -1.75602646332      -1.48286988706      -1.29980951292      -1.38112056527    
             N-P     28     38      -1.55259673745      -1.48742844075      -1.64626058083      -1.49267544161      -1.46607520306      -1.59869610346    
             N-P     28     40      -1.54269445471      -1.51687868839      -2.04420490906      -1.51785145091      -1.48635065613      -1.57502328081    
             N-P     28     42      -1.53148151693      -1.52189338756      -1.99885066087      -1.62836878971      -1.55239909697      -1.58982132793    
             N-P     28     44      -1.57978132667      -2.47888301531       -1.8326144903       -1.7826432053      -1.64850019452      -1.61243834943    
             N-P     28     46      -2.50316180626      -1.90273956442      -1.61771069671      -2.40172011194      -2.71982658386      -2.58113474427    
             N-P     28     48      -1.61885185361      -1.51498280116      -1.24350463128      -1.57867774688      -1.19508759245      -1.40458956664    
             N-P     28     50      -1.74919897619      -1.51169980061      -1.64797723155      -1.71760289622       -1.7295442478      -1.60964240184    
             N-P     28     52      -2.31978328585      -2.78776533428      -3.21039912485      -2.11282931086      -2.66340488349        -2.779339226    
             N-P     28     54      -2.77389817297       -3.0987718018      -3.49766836683      -2.28313760185      -2.91310145531      -3.00895087662    
             N-P     28     56      -2.99722906173      -3.22064303359      -2.67461383591      -2.74813418864      -2.79284166752       -3.3389371829    
             N-P     28     58      -3.73666594113       -4.4696682724      -4.17231667884      -3.11242628413      -3.73671830189      -3.84817413758    
             N-P     28     60      -4.33433311951      -5.18456399761      -4.27544558159      -3.29247373429                 N/A       -4.1912026656    
             N-P     28     62      -3.82717620415                 N/A                 N/A                 N/A                 N/A                 N/A    
             N-P     30     26      -1.42494139038                 N/A                 N/A      -1.36215331921                 N/A                 N/A    
             N-P     30     28      -1.47723579638      -1.53795105701      -1.76234589387       -1.3835880173      -1.88944302054       -1.4830953089    
             N-P     30     30      -1.35291680407      -1.25926028532      -1.54077210401      -1.56389528783      -1.56564474425      -1.37858159807    
             N-P     30     32      -1.39909254857      -1.29514343875      -1.56048112754      -1.64615014865      -1.39498030288      -1.44966404036    
             N-P     30     34      -1.64029818981      -1.40653405395      -1.75328247353      -1.66742951567      -1.42692791339      -1.54761089503    
             N-P     30     36       -1.7003267603      -1.51887736736      -1.55802554539      -1.65746085285        -1.601802348       -1.5862277363    
             N-P     30     38      -1.73699845798      -1.80209159761      -2.15050988589      -1.63521200115      -2.24554595959       -1.8155179582    
             N-P     30     40      -1.78723423268      -1.65111931442      -1.88382276619      -1.73567643867      -1.70300525079      -1.72963623588    
             N-P     30     42      -1.82651487719      -1.74527075258       -1.7394594195      -1.78541538805      -1.76261148518      -1.80931125853    
             N-P     30     44      -1.88415108631      -1.37899507802      -1.68326860464      -1.85028938526      -1.37443016984      -1.85592801969    
             N-P     30     46      -1.87090301473      -1.45433814525      -1.99060137561      -1.58202378019      -1.31037855854      -1.47384695426    
             N-P     30     48      -1.96588018353      -2.24590907662      -4.09512986681      -2.09576383257      -2.98723033712      -2.40426805665    
             N-P     30     50         -1.92658182      -2.60873364895      -2.16096370337      -2.16384996514      -2.66712185546      -2.00811983254    
             N-P     30     52      -2.12899472595      -1.97832448775      -1.93561093446       -2.0904080581      -1.50026761023      -2.02647898769    
             N-P     30     54      -2.27359666509      -2.64108511623       -2.2554996129      -2.33611018965      -1.81672761031      -2.26575877712    
             N-P     30     56      -2.39106173303      -4.43844760856      -2.90137641297      -2.54889578648      -2.67549580282      -2.97648945393    
             N-P     30     58      -3.04467064656      -3.34658301325      -2.80991027254      -2.57914260273      -2.77538978615      -2.98065924731    
             N-P     30     60       -4.2970185137      -4.45493333749      -3.56280150208      -2.90054116847      -2.46781810947       -3.4804035876    
             N-P     30     62      -3.80150444538      -3.72230488841      -2.68532069442      -2.73753037803                 N/A      -2.91071032247    
             N-P     30     64       -2.9315025123                 N/A      -1.47927790528                 N/A                 N/A      -2.40914656585    
             N-P     30     70                 N/A                 N/A      -3.66964397114                 N/A                 N/A                 N/A    
             N-P     30     72                 N/A                 N/A      -3.46468832963                 N/A                 N/A                 N/A    
             N-P     32     30      -1.46482157741      -1.31230194493      -1.58818201995      -1.65948317886      -1.37735592427                 N/A    
             N-P     32     32      -1.46502008176      -1.26585242819      -1.60280940432      -1.66749485578      -1.51375301379       -1.5082381855    
