LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
NE        10.000000      6.000000    16.000000       150.814864      87.799098       238.613962        -13.617169           24.073508         -3.537947          -4.706021          -2.526324       -100.769981      -1.762745      -2.431276       -104.964003        -0.997215        -20.074595          -0.000001            -0.000001             -0.000001             -0.000001            0.000000             -0.000001             2.110146          2.889360        2.879415        2.509725          2.746619           2.988483   
NE        10.000000      8.000000    18.000000       154.856245     117.934613       272.790858        -11.013428           24.282157         -3.583717          -4.106361          -2.619444       -133.812669      -1.589670      -2.081654       -137.483993        -4.329741        -14.721793          -0.000001             0.000000             -0.000001             -0.000001            0.000000             -0.000001             1.984471          2.583105        2.833713        2.655510          2.755935           2.944475   
NE        10.000000     10.000000    20.000000       156.154640     159.462922       315.617562        -15.334560           24.285602         -3.592667          -3.668969          -3.889987       -156.706019      -1.426820      -1.489781       -159.622620        -7.402130        -11.397428          -0.000003            -0.000003             -0.000003             -0.000003           -0.000003             -0.000006             1.843837          1.919997        2.823551        2.793592          2.808611           2.934696   
NE        10.000000     12.000000    22.000000       154.991916     200.782222       355.774138        -21.193129           24.148982         -3.586785          -2.825698          -3.705433       -176.843191      -1.421850      -1.822711       -180.087753       -10.568037         -9.951879           0.226455             0.208895              0.216650              0.232078            0.270673              0.502751             1.745064          1.959470        2.850167        2.925586          2.891548           2.960313   
NE        10.000000     14.000000    24.000000       155.896722     241.606211       397.502933        -27.413651           24.117130         -3.577624          -2.994446          -3.090054       -193.852838      -1.150783      -1.929278       -196.932899       -12.899090         -8.368815          -0.000009            -0.000006             -0.000007             -0.000009           -0.000009             -0.000019             1.584432          1.947746        2.833736        2.999220          2.931404           2.944497   
NE        10.000000     16.000000    26.000000       153.678874     274.354019       428.032892        -27.586184           23.892343         -3.547273          -2.767844          -2.876949       -206.926119      -1.061214      -1.979324       -209.966657       -15.203405         -5.476673          -0.000003            -0.000001             -0.000002             -0.000003           -0.000002             -0.000006             1.488828          2.059654        2.857966        3.128594          3.027371           2.967822   
NE        10.000000     18.000000    28.000000       149.836633     301.695278       451.531911        -20.840565           23.529677         -3.496669          -2.708467          -3.731370       -213.669330      -1.023278      -1.613802       -216.306409       -17.318372         -3.434145          -0.000003            -0.000001             -0.000002             -0.000003           -0.000003             -0.000006             1.442042          1.672681        2.899246        3.265280          3.139457           3.007595   
NE        10.000000     20.000000    30.000000       146.175067     333.283757       479.458824        -16.377381           23.182229         -3.448702          -2.550008          -5.249072       -217.997533      -0.969583      -1.715929       -220.683045       -19.321232         -2.460863          -0.000003            -0.000001             -0.000002             -0.000004           -0.000003             -0.000007             1.375613          1.744838        2.940006        3.378750          3.239112           3.046906   
NE        10.000000     22.000000    32.000000       141.544528     371.778352       513.322880        -20.045528           22.850288         -3.418524          -1.574731          -5.491641       -221.399210      -1.115334      -1.731075       -224.245619       -21.769584         -2.167610           0.319217             0.233006              0.254553              0.366186            0.802142              1.168328             1.375129          1.664817        3.015456        3.521888          3.371809           3.119771   
NE        10.000000     24.000000    34.000000       138.877067     407.171090       546.048156        -21.862901           22.596410         -3.386825          -1.408263          -5.261083       -224.319721      -1.096466      -1.790473       -227.206660       -23.701547         -1.544241           0.345887             0.259119              0.278932              0.406789            1.029834              1.436623             1.349780          1.629223        3.053253        3.623040          3.465195           3.156320   
NE        10.000000     26.000000    36.000000       137.037071     442.438646       579.475717        -24.356683           22.409290         -3.359016          -1.384476          -5.098778       -225.806710      -1.041891      -1.755882       -228.604484       -25.223241         -0.941381           0.336019             0.246075              0.264823              0.400584            1.114038              1.514622             1.288242          1.543998        3.074042        3.715131          3.548687           3.176434   
NE        10.000000     28.000000    38.000000       135.812203     477.486082       613.298285        -27.730174           22.277718         -3.335477          -1.460076          -5.262872       -226.171462      -0.987151      -1.716401       -228.875014       -26.353968         -0.517247           0.299774             0.200176              0.219099              0.359458            1.023275              1.382733             1.231197          1.473094        3.082992        3.804140          3.628288           3.185097   
NE        10.000000     30.000000    40.000000       135.289330     510.767413       646.056744        -31.299974           22.185599         -3.314011          -1.784630          -5.033212       -226.020630      -0.904641      -1.752038       -228.677310       -27.173249         -0.316858           0.213922             0.109667              0.127710              0.256206            0.627600              0.883805             1.194065          1.420804        3.081139        3.888543          3.703232           3.183303   
NE        10.000000     32.000000    42.000000       134.687030     538.520494       673.207524        -33.478538           22.084087         -3.292625          -2.117100          -4.167657       -225.928323      -0.790780      -1.985534       -228.704638       -27.961682          0.108119          -0.000004            -0.000001             -0.000002             -0.000005           -0.000008             -0.000013             1.154302          1.466970        3.080640        3.996355          3.798404           3.182820   
NE        10.000000     34.000000    44.000000       133.181305     559.008270       692.189576        -32.934207           21.952313         -3.272725          -2.113191          -3.808062       -224.363789      -0.784593      -2.004159       -227.152540       -28.670369          1.120614          -0.000004            -0.000001             -0.000001             -0.000004           -0.000005             -0.000009             1.142697          1.491639        3.099366        4.140920          3.928527           3.200948   
