LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
NE        10.000000     20.000000    30.000000       145.585354     330.751206       476.336559        -12.434442           23.078761         -3.435044          -3.642967          -4.640632       -213.920957      -1.297910      -2.139156       -217.358023       -20.596638         -1.828507          -0.000002             0.000000             -0.000001             -0.000002           -0.000001             -0.000003             1.757728          2.044587        2.949804        3.368027          3.234633           3.056361   
NE        10.000000     24.000000    34.000000       138.808996     403.331623       542.140619        -17.058632           22.507441         -3.369631          -2.679812          -5.194382       -214.750811      -1.496598      -1.947191       -218.194600       -25.063801         -0.298695           0.302561             0.245151              0.258260              0.355654            0.973863              1.329517             1.775864          1.747900        3.052479        3.622192          3.464368           3.155571   
MG        12.000000      8.000000    20.000000       190.845437     116.361905       307.207342        -14.185866           33.159159         -4.332790          -5.670617          -3.350123       -136.036540      -2.082382      -2.555057       -140.673979        -1.537656        -18.771848          -0.000002            -0.000001             -0.000002             -0.000003           -0.000001             -0.000004             2.263405          3.076948        2.992547        2.681440          2.872151           3.097634   
MG        12.000000     10.000000    22.000000       192.626758     155.915788       348.542546        -17.747511           33.222460         -4.368268          -4.567911          -3.948831       -166.653609      -2.093098      -1.840624       -170.587331        -4.697793        -14.647430           0.235289             0.240109              0.237361              0.318715            0.245210              0.563925             2.230367          2.202155        2.991259        2.845180          2.925764           3.096390   
MG        12.000000     12.000000    24.000000       192.447583     196.652914       389.100497        -22.879196           33.111469         -4.373710          -3.791988          -3.891449       -192.678502      -2.038077      -2.078303       -196.794882        -7.658957        -12.264459           0.305592             0.304347              0.304977              0.418017            0.407099              0.825117             2.193759          2.242056        3.005939        2.972485          2.989259           3.110574   
MG        12.000000     14.000000    26.000000       194.597410     238.413038       433.010448        -29.227968           33.154677         -4.369235          -4.027149          -3.763842       -213.280740      -1.861339      -2.125520       -217.267600       -10.546270        -10.225268           0.185409             0.140683              0.160941              0.248894            0.228098              0.476991             2.038565          2.166912        2.977799        3.029849          3.005938           3.083389   
MG        12.000000     16.000000    28.000000       193.995684     274.227691       468.223375        -30.295271           32.987558         -4.346018          -4.013900          -3.433001       -230.478125      -1.734207      -2.112699       -234.325031       -13.129972         -7.881073          -0.000005            -0.000003             -0.000003             -0.000006           -0.000005             -0.000011             1.931064          2.165285        2.977859        3.123783          3.062096           3.083447   
MG        12.000000     18.000000    30.000000       190.200409     304.144267       494.344677        -23.249921           32.566418         -4.295659          -4.043992          -3.693012       -242.516751      -1.723820      -1.960371       -246.200942       -15.549188         -5.791262          -0.000002            -0.000001             -0.000002             -0.000003           -0.000003             -0.000007             1.905007          1.923729        3.012801        3.232536          3.146484           3.117206   
MG        12.000000     20.000000    32.000000       186.284033     336.914177       523.198210        -17.750739           32.145300         -4.244628          -3.874178          -4.369815       -251.330895      -1.655947      -2.012526       -254.999367       -17.860394         -4.055954          -0.000002            -0.000001             -0.000001             -0.000003           -0.000002             -0.000005             1.836420          2.009885        3.049449        3.328082          3.226416           3.152640   
MG        12.000000     22.000000    34.000000       183.478560     378.363448       561.842008        -19.870460           31.828504         -4.206513          -3.806035          -5.228138       -256.072292      -1.624365      -1.538607       -259.235264       -20.023008         -2.412315          -0.000006            -0.000004             -0.000005             -0.000009           -0.000013             -0.000022             1.796930          1.693641        3.077512        3.416862          3.301077           3.179792   
