LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
SI        14.000000     22.000000    36.000000       223.198519     385.250934       608.449453        -28.913902           42.420998         -5.059238          -1.760175          -5.240538       -295.759563      -1.457589      -1.400351       -298.617503       -16.317821         -5.460910          -0.000004            -0.000003             -0.000004             -0.000007           -0.000010             -0.000017             1.632421          1.550698        3.143741        3.394543          3.299275           3.243934   
SI        14.000000     24.000000    38.000000       219.669908     429.579137       649.249045        -34.217964           42.026536         -5.025874          -1.497673          -5.401314       -305.378526      -1.336497      -1.629629       -308.344652       -17.795197         -4.962144           0.149534             0.165338              0.160179              0.266988            0.609181              0.876169             1.531808          1.596237        3.179485        3.488400          3.377878           3.278586   
SI        14.000000     26.000000    40.000000       217.101895     472.238903       689.340798        -39.229979           41.717932         -4.994481          -1.401522          -4.740155       -313.812873      -1.278249      -1.649098       -316.740220       -19.457530         -4.186005           0.160633             0.172031              0.168573              0.291013            0.715410              1.006423             1.476078          1.529879        3.202720        3.560673          3.439629           3.301124   
SI        14.000000     28.000000    42.000000       214.446619     511.675162       726.121782        -43.442371           41.439768         -4.964368          -1.401964          -4.106057       -321.079458      -1.335655      -1.714959       -324.130072       -21.094370         -3.528034          -0.173560            -0.155801             -0.160811             -0.318991           -0.728792             -1.047783             1.595853          1.500365        3.225855        3.639001          3.506698           3.323573   
SI        14.000000     30.000000    44.000000       213.630640     550.644750       764.275390        -48.534352           41.299075         -4.937438          -1.429679          -3.183839       -326.511208      -1.286514      -1.579096       -329.376818       -22.709773         -2.808425          -0.064564            -0.059162             -0.060574             -0.118687           -0.307364             -0.426052             1.499043          1.337035        3.226168        3.705022          3.559654           3.323877   
SI        14.000000     32.000000    46.000000       211.289015     578.819598       790.108613        -49.183308           41.058641         -4.906004          -1.418373          -2.395051       -330.790548      -1.255723      -1.545296       -333.591567       -23.849828         -1.807198          -0.000001            -0.000001             -0.000001             -0.000002           -0.000004             -0.000007             1.455005          1.303008        3.243645        3.815383          3.650866           3.340843   
SI        14.000000     34.000000    48.000000       208.149220     603.868517       812.017737        -46.303865           40.737198         -4.867395          -1.441147          -3.360207       -332.219573      -1.245071      -1.692352       -335.156996       -24.786656         -0.398684          -0.000001             0.000000              0.000000             -0.000002           -0.000002             -0.000004             1.433187          1.452566        3.269208        3.940414          3.757053           3.365668   
 S        16.000000     12.000000    28.000000       266.477497     199.012906       465.490403        -33.738562           55.479103         -5.998400          -2.052275          -3.160215       -212.967403      -1.651993      -1.445607       -216.065002        -1.948899        -17.521742          -0.000003            -0.000005             -0.000004             -0.000006           -0.000006             -0.000012             1.810497          1.637757        3.176255        2.938729          3.076704           3.275453   
 S        16.000000     14.000000    30.000000       268.927568     239.868832       508.796400        -39.717528           55.607029         -6.021671          -1.855336          -2.206142       -245.715476      -1.504016      -1.653021       -248.872512        -3.995263        -15.472878          -0.000002            -0.000003             -0.000002             -0.000004           -0.000004             -0.000009             1.707948          1.775902        3.158996        3.018787          3.094356           3.258720   
 S        16.000000     16.000000    32.000000       267.563598     275.012224       542.575822        -39.357458           55.353159         -6.001319          -1.724370          -1.921828       -272.325933      -1.394959      -1.486750       -275.207642        -6.070123        -11.894146          -0.000001            -0.000001             -0.000001             -0.000002           -0.000002             -0.000005             1.613715          1.703471        3.166701        3.121267          3.144066           3.266190   
 S        16.000000     18.000000    34.000000       263.412280     305.708978       569.121258        -30.766373           54.793922         -5.949455          -1.672587          -2.865830       -292.031439      -1.303301      -1.374499       -294.709238        -8.245410         -9.788534          -0.000001            -0.000001             -0.000001             -0.000002           -0.000002             -0.000004             1.507039          1.478036        3.192165        3.227721          3.211038           3.290884   
