EDF       Z     N      beta_2     beta_3  
SV-min    34    40   0.000586   -0.000000  
SV-min    34    42   -0.000525   -0.000000  
SV-min    34    44   0.040788   0.000009  
SV-min    34    46   0.059460   -0.000000  
SV-min    34    48   0.060117   -0.000000  
SV-min    34    50   0.058393   -0.000000  
SV-min    34    52   -0.074441   -0.000000  
SV-min    34    54   -0.103350   -0.000000  
SV-min    34    56   -0.130630   -0.000000  
SV-min    34    58   -0.153886   -0.000000  
SV-min    34    60   -0.169195   -0.000000  
SV-min    34    62   -0.176242   -0.000000  
SV-min    34    64   -0.176280   -0.000000  
SV-min    34    66   -0.169879   -0.000000  
SV-min    34    68   -0.156831   0.000000  
SV-min    34    70   -0.136883   0.000000  
SV-min    34    72   0.119108   0.000010  
SV-min    34    74   0.114170   -0.000000  
SV-min    34    76   0.115670   -0.000000  
SV-min    34    78   0.121564   0.000000  
SV-min    34    80   0.127681   -0.000000  
SV-min    34    82   0.131229   0.000000  
SV-min    36    34   -0.145028   -0.000000  
SV-min    36    36   -0.135637   -0.000000  
SV-min    36    38   -0.083017   0.000004  
SV-min    36    40   -0.000440   -0.000000  
SV-min    36    42   -0.000388   0.000000  
SV-min    36    44   0.000000   -0.000000  
SV-min    36    46   0.023520   0.000005  
SV-min    36    48   0.000000   0.000000  
SV-min    36    50   0.000853   -0.000000  
SV-min    36    52   -0.044096   -0.000000  
SV-min    36    54   -0.079404   -0.000000  
SV-min    36    56   -0.113972   -0.000000  
SV-min    36    58   -0.146859   -0.000000  
SV-min    36    60   -0.166870   -0.000000  
SV-min    36    62   -0.177008   0.000000  
SV-min    36    64   -0.178602   -0.000000  
SV-min    36    66   -0.173890   -0.000000  
SV-min    36    68   -0.157807   0.000000  
SV-min    36    70   -0.123311   0.000000  
SV-min    36    72   0.000000   0.000000  
SV-min    36    74   0.000000   0.000000  
SV-min    36    76   -0.000000   -0.000000  
SV-min    36    78   0.000000   0.000000  
SV-min    36    80   -0.000816   -0.000000  
SV-min    36    82   0.001239   -0.000000  
SV-min    36    84   -0.045751   -0.000000  
SV-min    38    36   -0.093724   -0.000000  
SV-min    38    38   -0.000431   -0.000000  
SV-min    38    40   -0.000289   -0.000000  
SV-min    38    42   -0.000262   -0.000000  
SV-min    38    44   0.000000   -0.000000  
SV-min    38    46   0.000000   0.000000  
SV-min    38    48   0.000338   0.000000  
SV-min    38    50   0.000365   0.000000  
SV-min    38    52   0.000502   -0.000000  
SV-min    38    54   0.000770   -0.000000  
SV-min    38    56   0.001214   -0.000000  
SV-min    38    58   -0.124944   -0.000000  
SV-min    38    60   -0.154588   -0.000000  
SV-min    38    62   -0.169252   -0.000000  
SV-min    38    64   -0.173421   0.000000  
SV-min    38    66   -0.168355   0.000000  
SV-min    38    68   -0.150606   -0.000000  
SV-min    38    70   0.000467   0.000000  
SV-min    38    72   0.000348   0.000000  
SV-min    38    74   0.000300   0.000000  
SV-min    38    76   0.000274   0.000011  
SV-min    38    78   -0.000257   -0.000000  
SV-min    38    80   0.000255   0.000000  
SV-min    38    82   -0.000288   -0.000000  
SV-min    38    84   0.000363   0.000000  
SV-min    38    86   0.000466   0.000000  
SV-min    38    88   0.001191   0.000000  
SV-min    40    38   -0.000293   0.000000  
SV-min    40    40   -0.000215   -0.000000  
SV-min    40    42   -0.000195   0.000000  
SV-min    40    44   -0.000222   -0.000000  
SV-min    40    46   0.000000   0.000000  
SV-min    40    48   -0.000233   -0.000000  
SV-min    40    50   0.000245   0.000000  
SV-min    40    52   -0.000305   0.000000  
SV-min    40    54   0.000408   0.000000  
SV-min    40    56   0.000534   0.000000  
SV-min    40    58   0.000742   -0.000000  
SV-min    40    60   -0.148324   -0.000000  
SV-min    40    62   -0.166921   0.000000  
SV-min    40    64   -0.173682   0.000000  
SV-min    40    66   -0.171280   -0.000000  
SV-min    40    68   0.000433   -0.000000  
SV-min    40    70   0.000316   -0.000000  
SV-min    40    72   0.000250   0.000000  
SV-min    40    74   0.000216   0.000000  
SV-min    40    76   0.000202   0.000000  
SV-min    40    78   0.000189   -0.000000  
SV-min    40    80   0.000180   0.000000  
SV-min    40    82   0.000194   0.000000  
SV-min    40    84   0.000235   -0.000000  
SV-min    40    86   0.000291   0.000000  
SV-min    40    88   0.000065   0.000229  
SV-min    40    90   0.000135   0.000249  
SV-min    40    92   -0.000000   -0.000000  
SV-min    40    94   -0.000000   0.000000  
SV-min    42    40   0.000155   0.000000  
SV-min    42    42   0.000000   -0.000000  
SV-min    42    44   0.000000   -0.000000  
SV-min    42    46   0.000000   -0.000000  
SV-min    42    48   0.000000   0.000000  
SV-min    42    50   0.000186   -0.000000  
SV-min    42    52   0.000000   -0.000000  
SV-min    42    54   0.000000   -0.000000  
SV-min    42    56   -0.000000   -0.000000  
SV-min    42    58   -0.000000   0.000000  
SV-min    42    60   -0.195959   0.000000  
SV-min    42    62   -0.202259   0.000000  
SV-min    42    64   -0.205734   0.000000  
SV-min    42    66   -0.206978   0.000000  
SV-min    42    68   -0.207095   0.000000  
SV-min    42    70   -0.194287   0.000000  
SV-min    42    72   -0.000000   0.000000  
SV-min    42    74   -0.000000   0.000000  
SV-min    42    76   -0.000000   0.000000  
SV-min    42    78   -0.000000   -0.000000  
SV-min    42    80   0.000000   -0.000000  
SV-min    42    82   0.000148   -0.000000  
SV-min    42    84   0.000000   -0.000000  
SV-min    42    86   0.053489   0.000000  
SV-min    42    88   0.054526   -0.000000  
SV-min    42    90   -0.000000   -0.000000  
SV-min    42    92   0.000745   0.000000  
SV-min    42    94   0.000208   0.000000  
SV-min    42    96   0.000194   -0.000000  
SV-min    44    42   0.000000   0.000000  
SV-min    44    44   0.092457   0.000000  
SV-min    44    46   0.107810   0.000000  
SV-min    44    48   0.064387   -0.000000  
SV-min    44    50   0.003588   -0.000000  
SV-min    44    52   0.069208   -0.000000  
SV-min    44    54   0.124085   0.000000  
SV-min    44    56   0.157704   -0.000000  
SV-min    44    58   0.181730   -0.000000  
SV-min    44    60   0.149914   -0.000000  
SV-min    44    62   -0.212624   0.000000  
SV-min    44    64   -0.214009   0.000000  
SV-min    44    66   -0.214036   0.000000  
SV-min    44    68   -0.209162   0.000000  
SV-min    44    70   -0.201256   0.000000  
SV-min    44    72   -0.000000   0.000000  
SV-min    44    74   0.039002   0.000000  
SV-min    44    76   0.075645   0.000000  
SV-min    44    78   0.057147   -0.000000  
SV-min    44    80   0.000000   0.000000  
SV-min    44    82   -0.000153   0.000000  
SV-min    44    84   0.000000   0.000000  
SV-min    44    86   0.075868   0.000000  
SV-min    44    88   0.089105   0.000000  
SV-min    44    90   -0.058294   0.000000  
SV-min    44    92   -0.000000   -0.000000  
SV-min    44    94   -0.000000   -0.000000  
SV-min    44    96   -0.000000   -0.000000  
SV-min    44    98   0.072401   0.000000  
SV-min    44   100   0.079466   0.000000  
SV-min    44   102   -0.197852   0.000000  
SV-min    44   104   -0.195325   0.000000  
SV-min    46    44   0.111568   0.000000  
SV-min    46    46   0.110297   0.000000  
SV-min    46    48   0.079699   0.000000  
SV-min    46    50   -0.000791   0.000000  
SV-min    46    52   0.091175   0.000000  
SV-min    46    54   0.142541   0.000000  
SV-min    46    56   0.164074   0.000000  
SV-min    46    58   0.172838   -0.000000  
SV-min    46    60   0.172066   -0.000000  
SV-min    46    62   0.182793   -0.000000  
SV-min    46    64   0.191605   0.000000  
SV-min    46    66   0.211117   0.000000  
SV-min    46    68   0.210917   0.000000  
SV-min    46    70   0.197630   0.000000  
SV-min    46    72   0.163638   0.000000  
SV-min    46    74   0.115049   -0.000000  
SV-min    46    76   0.094905   0.000000  
SV-min    46    78   0.076223   0.000000  
SV-min    46    80   0.000000   -0.000000  
SV-min    46    82   0.001168   0.000000  
SV-min    46    84   0.000000   -0.000000  
SV-min    46    86   0.083235   0.000000  
SV-min    46    88   0.095506   -0.000000  
SV-min    46    90   0.117413   0.000000  
SV-min    46    92   0.128165   -0.000000  
SV-min    46    94   0.136547   0.000000  
SV-min    46    96   0.145686   -0.000000  
SV-min    46    98   0.118104   -0.000000  
SV-min    46   100   0.146840   0.000000  
SV-min    46   102   0.184295   -0.000000  
SV-min    46   104   0.194711   0.000000  
SV-min    46   106   0.189085   0.000000  
SV-min    46   108   0.181477   0.000000  
SV-min    46   110   0.170913   0.000000  
SV-min    48    46   0.079812   -0.000000  
SV-min    48    48   0.000000   0.000000  
SV-min    48    50   0.000202   -0.000000  
SV-min    48    52   -0.000000   -0.000000  
SV-min    48    54   0.115330   0.000000  
SV-min    48    56   0.138704   0.000000  
SV-min    48    58   0.147671   0.000000  
SV-min    48    60   0.144376   0.000000  
SV-min    48    62   0.139760   -0.000000  
SV-min    48    64   0.141293   -0.000000  
SV-min    48    66   0.148092   -0.000000  
SV-min    48    68   0.157185   -0.000000  
SV-min    48    70   0.142506   0.000000  
SV-min    48    72   0.000000   -0.000000  
SV-min    48    74   0.000000   -0.000000  
SV-min    48    76   0.065988   0.000000  
SV-min    48    78   -0.009707   0.000000  
SV-min    48    80   0.000000   -0.000000  
SV-min    48    82   -0.000117   0.000000  
SV-min    48    84   0.000000   -0.000000  
SV-min    48    86   0.028047   0.000000  
SV-min    48    88   0.033085   0.000000  
SV-min    48    90   -0.000000   -0.000000  
SV-min    48    92   -0.000000   -0.000000  
SV-min    48    94   0.123488   0.000000  
SV-min    48    96   0.130337   0.000000  
SV-min    48    98   0.139592   -0.000000  
SV-min    48   100   0.121025   -0.000000  
SV-min    48   102   0.253057   -0.000000  
SV-min    48   104   0.223009   0.000000  
SV-min    48   106   0.209899   0.000000  
SV-min    48   108   0.197224   -0.000000  
SV-min    48   110   0.164527   -0.000000  
SV-min    48   112   0.125074   -0.000000  
SV-min    48   114   0.115198   -0.000000  
SV-min    48   116   0.094620   0.000000  
SV-min    48   118   0.075555   -0.000000  
SV-min    48   120   0.058714   0.000000  
SV-min    48   122   0.000001   0.000000  
SV-min    50    52   -0.000000   0.000000  
SV-min    50    54   -0.005440   -0.000000  
SV-min    50    56   -0.000000   -0.000000  
SV-min    50    58   -0.000000   0.000000  
SV-min    50    60   0.075087   0.000000  
SV-min    50    62   -0.070153   0.000000  
SV-min    50    64   -0.067706   0.000000  
SV-min    50    66   0.000000   -0.000000  
SV-min    50    68   0.000000   -0.000000  
SV-min    50    70   0.000000   -0.000000  
SV-min    50    72   0.000000   -0.000000  
SV-min    50    74   0.000783   -0.000000  
SV-min    50    76   0.000290   -0.000000  
SV-min    50    78   -0.000000   0.000000  
SV-min    50    80   0.001269   0.000000  
SV-min    50    82   0.000619   -0.000000  
SV-min    50    84   0.000000   -0.000000  
SV-min    50    86   0.000000   -0.000000  
SV-min    50    88   -0.000000   -0.000000  
SV-min    50    90   0.003867   0.000000  
SV-min    50    92   -0.000002   -0.000000  
SV-min    50    94   -0.000000   0.000000  
SV-min    50    96   -0.000000   0.000000  
SV-min    50    98   -0.117914   0.000000  
SV-min    50   100   0.272111   0.000000  
SV-min    50   102   0.273748   0.000000  
SV-min    50   104   0.267506   0.000000  
SV-min    50   106   0.253963   0.000000  
SV-min    50   108   -0.117913   0.000000  
SV-min    50   110   -0.097687   0.000000  
SV-min    50   112   -0.000000   -0.000000  
SV-min    50   114   -0.000000   0.000000  
SV-min    50   116   -0.000000   -0.000000  
SV-min    50   118   -0.000000   -0.000000  
SV-min    50   120   -0.000000   -0.000000  
SV-min    50   122   -0.000000   0.000000  
SV-min    50   124   0.000104   -0.000000  
SV-min    52    56   0.157459   0.000000  
SV-min    52    58   0.168371   0.000000  
SV-min    52    60   0.167963   0.000000  
SV-min    52    62   0.177913   0.000000  
SV-min    52    64   -0.166310   -0.000000  
SV-min    52    66   -0.166680   0.000000  
SV-min    52    68   -0.157475   0.000000  
SV-min    52    70   -0.141056   -0.000000  
SV-min    52    72   -0.117949   -0.000000  
SV-min    52    74   0.111373   0.000000  
SV-min    52    76   0.088447   0.000000  
SV-min    52    78   -0.000000   -0.000000  
SV-min    52    80   -0.000000   -0.000000  
SV-min    52    82   0.000173   -0.000000  
SV-min    52    84   0.000000   -0.000000  
SV-min    52    86   0.100852   0.000002  
SV-min    52    88   0.129378   -0.000005  
SV-min    52    90   0.145686   -0.000000  
SV-min    52    92   0.162337   0.000000  
SV-min    52    94   0.193054   -0.000000  
SV-min    52    96   0.233368   -0.000000  
SV-min    52    98   0.254964   -0.000000  
SV-min    52   100   0.271553   0.000000  
SV-min    52   102   0.277454   0.000000  
SV-min    52   104   0.276087   -0.000000  
SV-min    52   106   0.267605   0.000000  
SV-min    52   108   0.237510   -0.000000  
SV-min    52   110   0.216031   0.000000  
SV-min    52   112   0.189624   0.000000  
SV-min    52   114   0.146378   -0.000000  
SV-min    52   116   0.117803   0.000000  
SV-min    52   118   0.088477   0.000000  
SV-min    52   120   0.061797   0.000000  
SV-min    52   122   0.019885   -0.000000  
SV-min    52   124   0.000414   0.000000  
SV-min    52   126   0.000143   -0.000000  
SV-min    54    58   0.212972   0.080121  
SV-min    54    60   0.229495   0.000000  
SV-min    54    62   0.252839   0.000000  
SV-min    54    64   0.262045   0.000000  
SV-min    54    66   0.259722   0.000000  
SV-min    54    68   0.250706   0.000000  
SV-min    54    70   0.231752   0.000000  
SV-min    54    72   0.205197   -0.000000  
SV-min    54    74   0.173602   0.000000  
SV-min    54    76   0.142883   -0.000000  
SV-min    54    78   0.112643   0.000000  
SV-min    54    80   0.064967   0.000000  
SV-min    54    82   0.000000   0.000000  
SV-min    54    84   0.092142   0.000000  
SV-min    54    86   0.133440   0.048243  
SV-min    54    88   0.163845   0.094470  
SV-min    54    90   0.183770   0.100840  
SV-min    54    92   0.200128   0.095183  
SV-min    54    94   0.221892   0.050577  
SV-min    54    96   0.239501   0.000000  
SV-min    54    98   0.259127   -0.000000  
SV-min    54   100   0.274246   0.000001  
SV-min    54   102   0.280375   -0.000000  
SV-min    54   104   0.276930   -0.000000  
SV-min    54   106   0.262952   0.000000  
SV-min    54   108   0.241040   -0.000000  
SV-min    54   110   0.223672   -0.000000  
SV-min    54   112   0.204927   0.000000  
SV-min    54   114   0.183950   -0.000000  
SV-min    54   116   0.157313   -0.000000  
SV-min    54   118   0.129216   -0.000000  
SV-min    54   120   0.099320   0.000000  
SV-min    54   122   0.069431   -0.000000  
SV-min    54   124   0.000000   0.000000  
SV-min    54   126   0.000472   0.000000  
SV-min    56    60   0.304094   -0.000000  
SV-min    56    62   0.371057   0.000001  
SV-min    56    64   0.340426   -0.000000  
SV-min    56    66   0.309066   0.000000  
SV-min    56    68   0.284013   -0.000000  
SV-min    56    70   0.261908   0.000000  
SV-min    56    72   0.234573   -0.000000  
SV-min    56    74   0.201763   0.000000  
SV-min    56    76   0.166187   -0.000000  
SV-min    56    78   0.129577   0.000000  
SV-min    56    80   0.085928   -0.000000  
SV-min    56    82   0.006272   0.000000  
SV-min    56    84   0.102042   0.000001  
SV-min    56    86   0.152839   0.098387  
SV-min    56    88   0.183526   0.121485  
SV-min    56    90   0.203540   0.130446  
SV-min    56    92   0.220034   0.126591  
SV-min    56    94   0.248122   0.097459  
SV-min    56    96   0.280330   0.069662  
SV-min    56    98   0.284313   -0.000000  
SV-min    56   100   0.290536   -0.000001  
SV-min    56   102   0.292023   -0.000000  
SV-min    56   104   0.286030   0.000000  
SV-min    56   106   0.270965   0.000000  
SV-min    56   108   0.253374   0.000000  
SV-min    56   110   0.235820   -0.000000  
SV-min    56   112   0.218630   -0.000000  
SV-min    56   114   0.200438   0.000000  
SV-min    56   116   0.177114   0.000000  
SV-min    56   118   0.146499   0.000000  
SV-min    56   120   0.113822   0.000000  
SV-min    56   122   0.082077   -0.000000  
SV-min    56   124   0.000000   -0.000000  
SV-min    56   126   0.000371   -0.000000  
SV-min    58    62   0.385086   0.000008  
SV-min    58    64   0.377105   0.000001  
SV-min    58    66   0.355013   0.000000  
SV-min    58    68   0.326555   0.000000  
SV-min    58    70   0.299348   0.000000  
SV-min    58    72   0.257690   0.000000  
SV-min    58    74   0.214611   0.000000  
SV-min    58    76   0.171329   -0.000000  
SV-min    58    78   0.137400   0.000000  
SV-min    58    80   0.095088   -0.000000  
SV-min    58    82   -0.000000   0.000000  
SV-min    58    84   0.104044   0.000001  
SV-min    58    86   0.154029   0.099804  
SV-min    58    88   0.190042   0.126765  
SV-min    58    90   0.213612   0.134702  
SV-min    58    92   0.286031   0.000002  
SV-min    58    94   0.300997   0.000000  
SV-min    58    96   0.310612   -0.000004  
SV-min    58    98   0.315287   -0.000017  
SV-min    58   100   0.317487   -0.000001  
SV-min    58   102   0.317862   0.000000  
SV-min    58   104   0.315787   -0.000000  
SV-min    58   106   0.344506   -0.000003  
SV-min    58   108   0.280910   0.000000  
SV-min    58   110   0.248122   -0.000000  
SV-min    58   112   0.226101   0.000000  
SV-min    58   114   0.204717   0.000000  
SV-min    58   116   0.179622   -0.000000  
SV-min    58   118   0.150189   0.000000  
SV-min    58   120   0.119783   0.000000  
SV-min    58   122   0.084373   -0.000000  
SV-min    58   124   0.000000   -0.000000  
SV-min    58   126   0.000232   0.000000  
SV-min    58   128   0.000000   0.000000  
SV-min    60    64   0.382506   0.000003  
SV-min    60    66   0.374547   0.000002  
SV-min    60    68   0.358957   0.000000  
SV-min    60    70   0.352884   -0.000000  
SV-min    60    72   0.379457   0.000000  
SV-min    60    74   0.349374   -0.000000  
SV-min    60    76   0.180673   0.000000  
SV-min    60    78   0.141369   0.000000  
SV-min    60    80   0.089663   0.000000  
SV-min    60    82   -0.000000   -0.000000  
SV-min    60    84   0.093275   0.056650  
SV-min    60    86   0.140945   0.102713  
SV-min    60    88   0.196162   0.128646  
SV-min    60    90   0.302240   0.000000  
SV-min    60    92   0.313882   0.000000  
SV-min    60    94   0.323068   -0.000000  
SV-min    60    96   0.330024   0.000000  
SV-min    60    98   0.334295   0.000000  
SV-min    60   100   0.337252   0.000001  
