EDF       Z     N      beta_2     beta_3  
  SLY4    38    38   0.000470   0.000000  
  SLY4    38    40   -0.000270   0.000000  
  SLY4    38    42   -0.000231   0.000000  
  SLY4    38    44   -0.000267   -0.000000  
  SLY4    38    46   -0.000303   0.000000  
  SLY4    38    48   0.000284   -0.000000  
  SLY4    38    50   0.000307   -0.000000  
  SLY4    38    52   0.000632   -0.000000  
  SLY4    38    54   -0.070652   -0.000000  
  SLY4    38    56   -0.131582   -0.000000  
  SLY4    38    58   -0.172174   -0.000000  
  SLY4    38    60   -0.193134   0.000000  
  SLY4    38    62   -0.200245   0.000000  
  SLY4    38    64   -0.197919   -0.000000  
  SLY4    38    66   -0.195473   -0.000000  
  SLY4    38    68   -0.187373   0.000000  
  SLY4    38    70   -0.163601   0.000000  
  SLY4    38    72   0.000382   0.000000  
  SLY4    38    74   0.000299   -0.000000  
  SLY4    38    76   0.000258   -0.000000  
  SLY4    38    78   -0.000217   -0.000000  
  SLY4    38    80   0.000186   -0.000000  
  SLY4    38    82   0.000186   0.000000  
  SLY4    40    36   0.000562   0.000000  
  SLY4    40    38   0.000296   0.000000  
  SLY4    40    40   -0.000197   -0.000000  
  SLY4    40    42   -0.000176   0.000000  
  SLY4    40    44   -0.000194   -0.000000  
  SLY4    40    46   -0.000210   -0.000000  
  SLY4    40    48   -0.000199   -0.000000  
  SLY4    40    50   0.000201   0.000000  
  SLY4    40    52   0.000293   -0.000000  
  SLY4    40    54   0.001235   -0.000000  
  SLY4    40    56   -0.000000   -0.000000  
  SLY4    40    58   -0.158815   -0.000000  
  SLY4    40    60   -0.178896   -0.000000  
  SLY4    40    62   -0.187592   0.000000  
  SLY4    40    64   -0.190945   0.000000  
  SLY4    40    66   -0.190061   -0.000000  
  SLY4    40    68   -0.183023   0.000000  
  SLY4    40    70   -0.166568   0.000000  
  SLY4    40    72   0.000260   0.000000  
  SLY4    40    74   0.000217   -0.000000  
  SLY4    40    76   0.000189   -0.000000  
  SLY4    40    78   0.000166   0.000000  
  SLY4    40    80   0.000142   -0.000000  
  SLY4    40    82   0.000140   -0.000000  
  SLY4    40    84   0.000169   -0.000000  
  SLY4    42    40   -0.000179   -0.000000  
  SLY4    42    42   -0.000157   0.000000  
  SLY4    42    44   0.000167   0.000000  
  SLY4    42    46   -0.000000   0.000000  
  SLY4    42    48   -0.000171   -0.000000  
  SLY4    42    50   0.000171   0.000000  
  SLY4    42    52   0.000233   0.000000  
  SLY4    42    54   0.000406   0.000000  
  SLY4    42    56   0.000794   0.000000  
  SLY4    42    58   -0.120627   -0.000000  
  SLY4    42    60   -0.158160   -0.000000  
  SLY4    42    62   -0.175573   0.000000  
  SLY4    42    64   -0.182836   0.000000  
  SLY4    42    66   -0.182826   -0.000000  
  SLY4    42    68   -0.174707   -0.000000  
  SLY4    42    70   0.000321   0.000000  
  SLY4    42    72   0.000235   0.000000  
  SLY4    42    74   0.000197   0.000000  
  SLY4    42    76   0.000172   0.000000  
  SLY4    42    78   0.000147   0.000000  
  SLY4    42    80   -0.000125   0.000000  
  SLY4    42    82   0.000122   0.000000  
  SLY4    42    84   0.000145   0.000000  
  SLY4    42    86   0.000198   0.000000  
  SLY4    42    88   0.000259   0.000000  
  SLY4    44    42   -0.000162   0.000000  
  SLY4    44    44   -0.000000   0.000000  
  SLY4    44    46   -0.000000   0.000000  
  SLY4    44    48   0.000166   0.000000  
  SLY4    44    50   -0.000164   0.000000  
  SLY4    44    52   0.000232   0.000000  
  SLY4    44    54   -0.000000   0.000000  
  SLY4    44    56   0.078350   0.000000  
  SLY4    44    58   0.116496   0.000000  
  SLY4    44    60   0.135051   0.000000  
  SLY4    44    62   -0.156357   -0.000000  
  SLY4    44    64   -0.168311   -0.000000  
  SLY4    44    66   -0.169779   0.000000  
  SLY4    44    68   -0.158255   0.000000  
  SLY4    44    70   0.000000   0.000000  
  SLY4    44    72   0.000000   0.000000  
  SLY4    44    74   0.000000   0.000000  
  SLY4    44    76   0.000000   0.000000  
  SLY4    44    78   0.000145   0.000000  
  SLY4    44    80   0.000120   0.000000  
  SLY4    44    82   0.000115   0.000000  
  SLY4    44    84   0.000135   0.000000  
  SLY4    44    86   0.000187   0.000000  
  SLY4    44    88   -0.000263   0.000000  
  SLY4    44    90   0.015027   0.000000  
  SLY4    44    92   -0.000000   0.000000  
  SLY4    46    44   -0.000000   0.000000  
  SLY4    46    46   -0.000000   0.000000  
  SLY4    46    48   -0.000163   0.000000  
  SLY4    46    50   -0.000163   0.000000  
  SLY4    46    52   0.000230   0.000000  
  SLY4    46    54   -0.000000   0.000000  
  SLY4    46    56   0.082069   0.000000  
  SLY4    46    58   0.114013   0.000000  
  SLY4    46    60   0.124558   0.000000  
  SLY4    46    62   0.123359   0.000000  
  SLY4    46    64   0.117710   0.000000  
  SLY4    46    66   0.107744   0.000026  
  SLY4    46    68   0.000000   0.000000  
  SLY4    46    70   0.000000   0.000000  
  SLY4    46    72   0.000000   0.000000  
  SLY4    46    74   0.000000   0.000000  
  SLY4    46    76   0.000000   0.000000  
  SLY4    46    78   0.000000   0.000000  
  SLY4    46    80   0.000117   0.000000  
  SLY4    46    82   0.000107   0.000000  
  SLY4    46    84   0.000126   0.000000  
  SLY4    46    86   0.000182   0.000000  
  SLY4    46    88   -0.000258   -0.000000  
  SLY4    46    90   -0.000000   0.000000  
  SLY4    46    92   0.056862   0.000000  
  SLY4    46    94   0.090076   0.000000  
  SLY4    46    96   0.115164   0.000000  
  SLY4    46    98   0.145971   0.000000  
  SLY4    46   100   0.177606   0.000000  
  SLY4    48    46   0.000171   0.000000  
  SLY4    48    48   0.000153   0.000000  
  SLY4    48    50   -0.000004   0.000000  
  SLY4    48    52   0.000205   0.000000  
  SLY4    48    54   -0.000370   0.000000  
  SLY4    48    56   0.057676   0.000000  
  SLY4    48    58   0.092111   0.000000  
  SLY4    48    60   0.102533   0.000000  
  SLY4    48    62   0.097202   0.000000  
  SLY4    48    64   0.079691   0.000005  
  SLY4    48    66   -0.047274   0.000000  
  SLY4    48    68   0.000936   0.000000  
  SLY4    48    70   0.000380   0.000000  
  SLY4    48    72   0.000260   0.000000  
  SLY4    48    74   0.000200   0.000000  
  SLY4    48    76   0.000160   0.000000  
  SLY4    48    78   0.000130   0.000000  
  SLY4    48    80   0.000104   0.000000  
  SLY4    48    82   0.000095   0.000000  
