EDF       Z     N      beta_2     beta_3  
UNEDF2    38    70   -0.165037   0.000000  
UNEDF2    38    72   -0.140630   0.000000  
UNEDF2    38    74   0.000546   -0.000000  
UNEDF2    38    76   0.000350   -0.000000  
UNEDF2    38    78   0.000266   -0.000000  
UNEDF2    38    80   0.000218   -0.000000  
UNEDF2    38    82   0.000219   -0.000000  
UNEDF2    38    84   -0.000250   -0.000000  
UNEDF2    38    86   0.000292   0.000000  
UNEDF2    38    88   0.000000   0.000000  
UNEDF2    38    90   -0.000228   -0.000000  
UNEDF2    38    92   0.000168   -0.000000  
UNEDF2    38    94   0.000002   0.000293  
UNEDF2    40    36   -0.138489   -0.000000  
UNEDF2    40    38   0.000339   0.000000  
UNEDF2    40    40   0.000193   0.000000  
UNEDF2    40    42   0.000213   -0.000000  
UNEDF2    40    44   0.000310   0.000000  
UNEDF2    40    46   -0.000311   -0.000000  
UNEDF2    40    48   -0.000218   -0.000000  
UNEDF2    40    50   -0.000195   -0.000000  
UNEDF2    40    52   0.000000   -0.000000  
UNEDF2    40    54   0.000245   -0.000000  
UNEDF2    40    56   0.003213   0.039428  
UNEDF2    40    58   0.007788   0.067210  
UNEDF2    40    60   0.001729   0.059764  
UNEDF2    40    62   0.349605   -0.000000  
UNEDF2    40    64   0.354137   0.000000  
UNEDF2    40    66   0.347904   0.000000  
UNEDF2    40    68   -0.191826   0.000000  
UNEDF2    40    70   -0.181414   -0.000000  
UNEDF2    40    72   -0.164827   0.000000  
UNEDF2    40    74   0.000335   0.000000  
UNEDF2    40    76   0.000270   -0.000000  
UNEDF2    40    78   0.000214   -0.000000  
UNEDF2    40    80   -0.000178   0.000000  
UNEDF2    40    82   -0.000175   -0.000000  
UNEDF2    40    84   -0.000201   0.000001  
UNEDF2    40    86   0.000240   0.000000  
UNEDF2    40    88   0.000237   0.000000  
UNEDF2    40    90   -0.000193   0.000000  
UNEDF2    40    92   0.000145   0.000000  
UNEDF2    40    94   0.000253   0.010319  
UNEDF2    42    38   -0.000000   0.000000  
UNEDF2    42    40   -0.004503   0.087023  
UNEDF2    42    42   0.000000   0.000000  
UNEDF2    42    44   0.084657   0.000000  
UNEDF2    42    46   0.098195   0.000000  
UNEDF2    42    48   0.000000   0.000000  
UNEDF2    42    50   0.000261   0.000000  
UNEDF2    42    52   0.039479   0.000000  
UNEDF2    42    54   0.000000   0.000000  
UNEDF2    42    56   0.000781   0.078020  
UNEDF2    42    58   -0.008951   0.127215  
UNEDF2    42    60   -0.045527   0.133360  
UNEDF2    42    62   0.357349   0.000000  
UNEDF2    42    64   0.346903   0.000000  
UNEDF2    42    66   0.330266   0.000000  
UNEDF2    42    68   -0.210494   -0.000000  
UNEDF2    42    70   -0.205437   -0.000000  
UNEDF2    42    72   -0.199545   0.000000  
UNEDF2    42    74   -0.186019   -0.000000  
UNEDF2    42    76   -0.048551   0.082801  
UNEDF2    42    78   0.055545   0.000000  
UNEDF2    42    80   -0.000000   0.000000  
UNEDF2    42    82   0.000160   0.000000  
UNEDF2    42    84   0.039678   0.000000  
UNEDF2    42    86   0.057840   0.000000  
UNEDF2    42    88   -0.060769   -0.000000  
UNEDF2    42    90   -0.047480   0.000000  
UNEDF2    42    92   0.000000   0.000000  
UNEDF2    42    94   0.000273   0.029719  
UNEDF2    44    42   0.054338   0.000000  
UNEDF2    44    44   0.112392   0.000000  
UNEDF2    44    46   0.126263   0.000000  
UNEDF2    44    48   0.087378   0.000000  
UNEDF2    44    50   0.000000   0.000000  
UNEDF2    44    52   0.084656   0.000000  
UNEDF2    44    54   0.057869   0.000000  
UNEDF2    44    56   -0.005302   0.065537  
