  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
 42     66         0         0         0         0         0         0         0
 42     68         0         0         0         0         0         0         0
 42     70         0         0         0         0         0         0         0
 42     72         0         1         0         0         0         0         1
 42     74         0         0         0         0         0         0         0
 42     76         0         0         1         0         0         0         1
 42     78         0         0         0         0         0         0         0
 42     80         0         0         0         0         0         0         0
 42     82         0         0         0         0         0         0         0
 42     84         0         0         0         0         0         0         0
 42     86         0         0         0         0         0         0         0
 42     88         0         0         0         0         0         0         0
 42     90         0         0         0         0         0         0         0
 42     92         0         0         0         0         0         0         0
 42     94         0         0         1         0         0         0         1
 42     96         0         0         0         0         0         0         0
 42     98         0         0         0         0         0         0         0
 44     40         0         0         0         0         0         0         0
 44     42         0         0         0         0         0         0         0
 44     44         0         0         0         0         0         0         0
 44     46         0         0         0         0         0         0         0
 44     48         0         0         0         0         0         0         0
 44     50         0         0         0         0         0         0         0
 44     52         0         0         0         0         0         0         0
 44     54         0         0         0         0         0         0         0
 44     56         0         0         1         0         0         0         1
 44     58         0         0         0         0         0         0         0
 44     60         0         0         0         0         0         0         0
 44     62         0         0         0         0         0         0         0
 44     64         0         0         0         0         0         0         0
 44     66         0         0         0         0         0         0         0
 44     68         0         0         0         0         0         0         0
 44     70         0         0         0         0         0         0         0
 44     72         0         0         0         0         0         0         0
 44     74         0         0         0         0         0         0         0
 44     76         0         0         0         0         0         0         0
 44     78         0         0         0         0         0         0         0
 44     80         0         0         0         0         0         0         0
 44     82         0         0         0         0         0         0         0
 44     84         0         0         0         0         0         0         0
 44     86         0         0         0         0         0         0         0
 44     88         0         0         0         0         0         0         0
 44     90         0         0         0         0         0         0         0
 44     92         0         0         0         0         0         0         0
 44     94         0         0         0         0         0         0         0
 44     96         0         0         0         0         0         0         0
 44     98         0         0         0         0         0         0         0
 44    100         0         0         0         0         0         0         0
 44    102         0         0         0         0         0         0         0
 44    104         0         0         0         0         0         0         0
 44    106         0         0         0         0         0         0         0
 44    108         0         0         0         0         0         0         0
 44    110         0         0         0         0         0         0         0
 46     42         0         0         0         0         0         0         0
 46     44         0         0         0         0         0         0         0
 46     46         0         0         0         0         0         0         0
 46     48         0         0         0         0         0         0         0
 46     50         0         0         0         0         0         0         0
 46     52         0         0         0         0         0         0         0
 46     54         0         0         0         0         0         0         0
 46     56         0         0         0         0         0         0         0
 46     58         0         0         0         0         0         0         0
 46     60         0         0         0         0         0         0         0
 46     62         0         0         0         0         0         0         0
 46     64         0         0         0         0         0         0         0
 46     66         0         0         0         0         0         0         0
 46     68         0         0         0         0         0         0         0
 46     70         0         0         0         0         0         0         0
 46     72         0         0         0         0         0         0         0
 46     74         0         0         0         0         0         0         0
 46     76         0         0         0         0         0         0         0
 46     78         0         0         0         0         0         0         0
 46     80         0         0         0         0         0         0         0
 46     82         0         0         0         0         0         0         0
 46     84         0         0         0         0         0         0         0
 46     86         0         0         0         0         0         0         0
 46     88         0         0         0         0         0         0         0
 46     90         0         0         0         0         0         0         0
 46     92         0         0         0         0         0         0         0
 46     94         0         0         0         0         0         0         0
 46     96         0         0         0         0         0         0         0
 46     98         0         0         0         0         0         0         0
 46    100         0         0         0         0         0         0         0
 46    102         0         0         0         0         0         0         0
 46    104         0         0         0         0         0         0         0
 46    106         0         0         0         0         0         0         0
 46    108         0         0         0         0         0         0         0
 46    110         0         0         0         0         0         0         0
 46    112         0         0         0         0         0         0         0
 46    114         0         0         0         0         0         0         0
 46    116         0         0         0         0         0         0         0
 46    118         0         0         0         0         0         0         0
 46    120         0         0         0         0         0         0         0
 46    122         0         0         0         0         0         0         0
 46    124         0         0         0         0         0         0         0
 48     44         0         0         0         0         0         0         0
