  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
104    196         1         1         1         1         1         1         6
104    198         0         1         1         0         1         1         4
104    200         0         1         1         0         1         1         4
104    202         0         1         1         0         1         1         4
104    204         0         1         1         0         0         1         3
104    206         0         1         1         0         0         0         2
104    208         0         1         0         0         0         0         1
104    210         0         1         0         0         0         0         1
104    214         0         1         0         0         0         0         1
104    216         0         1         0         0         0         0         1
104    218         0         1         0         0         0         0         1
104    220         0         1         0         0         0         0         1
104    222         0         1         0         0         0         0         1
104    224         0         1         0         0         0         0         1
104    226         0         1         0         0         0         0         1
104    228         0         1         0         0         0         0         1
104    230         0         1         0         0         0         0         1
104    232         0         1         0         0         0         0         1
104    234         0         1         0         0         0         0         1
104    242         0         1         0         0         0         0         1
104    252         0         0         1         0         0         0         1
104    254         1         0         0         0         0         1         2
104    256         1         0         0         1         0         1         3
104    258         1         1         0         1         0         0         3
106    146         0         1         1         0         0         0         2
106    182         0         1         1         0         0         1         3
106    184         0         1         1         1         1         1         5
106    186         1         1         1         1         1         1         6
106    188         1         1         1         1         1         1         6
106    190         1         1         1         1         1         1         6
106    192         1         1         1         1         1         1         6
106    194         1         1         1         1         0         1         5
106    196         1         1         1         0         0         1         4
106    198         0         1         1         0         0         1         3
106    200         0         1         1         0         0         1         3
106    202         0         1         1         0         0         1         3
106    204         0         1         1         0         0         0         2
106    206         0         1         1         0         0         0         2
106    208         0         1         1         0         0         0         2
106    210         0         1         0         0         0         0         1
106    212         0         1         0         0         0         0         1
106    214         0         1         0         0         0         0         1
106    216         0         1         0         0         0         0         1
106    218         0         1         0         0         0         0         1
106    220         0         1         0         0         0         0         1
106    222         0         1         0         0         0         0         1
106    224         0         1         0         0         0         0         1
106    226         0         1         0         0         0         0         1
106    228         0         1         0         0         0         0         1
106    230         0         1         0         0         0         0         1
106    232         0         1         0         0         0         0         1
106    242         0         1         0         0         0         0         1
106    254         0         0         0         0         0         1         1
106    256         0         0         0         1         0         1         2
106    258         0         0         1         1         0         1         3
108    182         0         1         0         0         0         0         1
108    184         0         1         1         0         0         1         3
108    186         0         1         1         1         1         1         5
108    188         1         1         1         1         1         1         6
108    190         1         1         1         1         1         1         6
108    192         1         1         1         1         1         1         6
